shipment_id,warehouse_id,customer_id,scheduled_date,actual_delivery,delay_flag,delay_hours
SHP-004236,WH03,CUST-00076,2024-02-29,2024-02-29 03:00,No,0.0
SHP-001783,Fremantle WH,CUST-00010,2024-06-03,2024-06-03 04:00,Yes,4.6
SHP-003383,fremantle wh,CUST-00022,2024-12-22,2024-12-22 04:00,No,0.0
SHP-002660,kewdale wh,CUST-00189,2023-02-19,2023-02-19 04:00,Y,4.8
SHP-004150,WH02,CUST-00187,2024-08-27,2024-08-27 10:00,0,0.0
SHP-000409,WH02,CUST-00083,2024-04-18,2024-04-18 03:00,0,0.0
SHP-002760,Kewdale WH,CUST-00007,2024-02-24,2024-02-24 07:00,N,0.0
SHP-002705,perth wh,CUST-00100,2023-09-19,2023-09-19 05:00,FALSE,0.0
SHP-PEAK-00526,fremantle wh,CUST-00158,2024-11-30,2024-11-30 15:00,No,0.0
SHP-004403,WH03,CUST-00194,2023-12-06,2023-12-06 07:00,No,0.0
SHP-PEAK-00748,Kewdale WH,CUST-00018,2024-11-11,2024-11-11 03:00,No,0.0
SHP-004049,Fremantle WH,CUST-00105,2023-12-31,2023-12-31 12:00,N,0.0
SHP-002255,Perth WH,CUST-00149,2023-06-05,2023-06-05 17:00,Yes,17.8
SHP-PEAK-00315,kewdale wh,CUST-00081,2024-11-25,2024-11-25 07:00,FALSE,0.0
SHP-002329,WH02,CUST-00127,2024-10-01,2024-10-01 14:00,N,0.0
SHP-003415,Perth WH,CUST-00111,2024-10-07,2024-10-07 08:00,false,0.0
SHP-003289,,CUST-00085,2024-04-06,2024-04-06 12:00,N,0.0
SHP-001118,WH01,CUST-00179,2023-10-06,2023-10-06 12:00,No,0.0
SHP-000878,fremantle wh,CUST-00147,2024-03-08,2024-03-08 03:00,false,0.0
SHP-003769,Kewdale WH,CUST-00127,2024-09-18,2024-09-18 14:00,0,0.0
SHP-003348,,CUST-00088,2023-11-30,2023-11-30 17:00,false,0.0
SHP-004814,Kewdale WH,CUST-00199,2024-01-02,2024-01-02 08:00,FALSE,0.0
SHP-001224,WH01,CUST-00153,2023-07-24,2023-07-24 10:00,false,0.0
SHP-001870,Perth WH,CUST-00177,2023-08-23,2023-08-24 03:00,Y,27.5
SHP-PEAK-00541,kewdale wh,CUST-00111,2023-11-24,2023-11-24 04:00,0,0.0
SHP-004307,Fremantle WH,CUST-00089,2023-07-12,2023-07-12 15:00,false,0.0
SHP-002466,Kewdale WH,CUST-00121,2024-05-10,2024-05-10 02:00,No,0.0
SHP-000970,WH01,CUST-00188,2024-09-28,2024-09-28 09:00,0,0.0
SHP-002334,Perth WH,CUST-00091,2023-01-31,2023-02-01 15:00,true,39.6
SHP-002586,WH03,CUST-00143,2023-09-16,2023-09-16 14:00,false,0.0
SHP-003443,kewdale wh,CUST-00111,2023-11-24,2023-11-24 04:00,0,0.0
SHP-000297,WH01,CUST-00110,2024-12-08,2024-12-08 01:00,N,0.0
SHP-000178,perth wh,CUST-00086,2023-12-07,2023-12-07 05:00,No,0.0
SHP-003065,kewdale wh,CUST-00004,2024-04-06,2024-04-06 09:00,N,0.0
SHP-004154,Fremantle WH,CUST-00180,2024-12-03,2024-12-03 05:00,FALSE,0.0
SHP-000030,fremantle wh,CUST-00173,2024-12-14,2024-12-14 06:00,FALSE,0.0
SHP-002182,Kewdale WH,CUST-00171,2024-13-45,2024-07-24 19:00,false,0.0
SHP-003905,fremantle wh,CUST-00187,2024-06-08,2024-06-08 07:00,FALSE,0.0
SHP-002657,perth wh,CUST-00007,2023-04-27,2023-04-28 22:00,true,46.2
SHP-003412,fremantle wh,CUST-00153,2024-07-24,2024-07-24 15:00,FALSE,0.0
SHP-003170,Perth WH,CUST-00162,2024-07-26,2024-07-26 02:00,false,0.0
SHP-002894,WH01,CUST-00027,2024-08-11,2024-08-11 16:00,false,0.0
SHP-002688,WH03,CUST-00113,2024-02-08,2024-02-08 12:00,false,0.0
SHP-003286,fremantle wh,CUST-00102,2024-05-18,2024-05-19 21:00,1,45.4
SHP-004007,WH02,CUST-00036,2024-02-16,2024-02-17 10:00,Y,34.1
SHP-002064,perth wh,CUST-00078,2024-11-08,2024-11-08 14:00,0,0.0
SHP-004989,WH01,CUST-00171,2023-02-11,2023-02-12 00:00,TRUE,24.1
SHP-004320,fremantle wh,CUST-00186,2024-04-02,2024-04-02 18:00,FALSE,0.0
SHP-000545,perth wh,CUST-00006,2023-12-16,2023-12-16 13:00,No,0.0
SHP-003389,perth wh,CUST-00076,2024-07-26,2024-07-26 07:00,FALSE,0.0
SHP-PEAK-00613,kewdale wh,CUST-00008,2023-12-31,2023-12-31 10:00,false,0.0
SHP-001085,Kewdale WH,CUST-00161,2024-09-25,2024-09-25 03:00,N,0.0
SHP-002560,WH02,CUST-00094,2024-12-21,2024-12-21 11:00,0,0.0
SHP-002684,Fremantle WH,CUST-00068,2023-08-20,2023-08-20 01:00,FALSE,0.0
SHP-004571,Fremantle WH,CUST-00066,2023-05-06,2023-05-06 19:00,false,0.0
SHP-004763,Kewdale WH,CUST-00119,2024-09-24,2024-09-24 07:00,No,0.0
SHP-001407,,CUST-00160,2024-13-45,2023-10-04 12:00,0,0.0
SHP-000927,Fremantle WH,CUST-00023,2024-13-45,2023-08-30 16:00,N,0.0
SHP-004910,perth wh,CUST-00179,2024-09-22,2024-09-22 04:00,false,0.0
SHP-002941,WH03,CUST-00059,2023-11-19,2023-11-19 03:00,No,0.0
SHP-003472,perth wh,CUST-00035,2023-11-03,2023-11-03 16:00,0,0.0
SHP-001363,WH01,CUST-00188,2024-10-01,2024-10-01 04:00,FALSE,0.0
SHP-001833,Fremantle WH,CUST-00056,2023-01-26,2023-01-26 18:00,false,0.0
SHP-004291,,CUST-00113,2023-10-26,2023-10-26 11:00,1,11.2
SHP-PEAK-00099,Perth WH,CUST-00070,2024-12-12,2024-12-12 22:00,Y,22.1
SHP-000811,Perth WH,CUST-00105,2024-07-30,2024-07-30 19:00,0,0.0
SHP-000813,WH03,CUST-00182,2024-06-19,2024-06-19 03:00,N,0.0
SHP-000539,,CUST-00145,2024-11-05,2024-11-05 07:00,0,0.0
SHP-003034,Fremantle WH,CUST-00037,2024-03-23,2024-03-23 15:00,N,0.0
SHP-001102,WH01,CUST-00169,2024-06-24,2024-06-24 12:00,0,0.0
SHP-000599,Fremantle WH,CUST-00047,2024-09-13,2024-09-13 18:00,FALSE,0.0
SHP-004913,WH02,CUST-00151,2023-04-11,2023-04-12 18:00,Y,42.5
SHP-001610,,CUST-00081,2024-11-07,2024-11-07 18:00,No,0.0
SHP-PEAK-00174,fremantle wh,CUST-00018,2023-11-13,2023-11-13 07:00,0,0.0
SHP-001962,perth wh,CUST-00018,2023-12-03,2023-12-04 11:00,1,35.1
SHP-001770,Fremantle WH,CUST-00104,2024-09-18,2024-09-18 11:00,N,0.0
SHP-004569,,CUST-00064,2024-12-28,2024-12-28 11:00,No,0.0
SHP-000747,Kewdale WH,CUST-00113,2024-04-22,2024-04-22 03:00,No,0.0
SHP-002165,kewdale wh,CUST-00150,2023-03-16,2023-03-16 06:00,false,0.0
SHP-003758,kewdale wh,CUST-00189,2023-06-24,2023-06-25 06:00,true,30.3
SHP-002930,WH01,CUST-00184,2024-04-16,2024-04-16 13:00,No,0.0
SHP-002433,Perth WH,CUST-00179,2023-03-29,2023-03-30 16:00,1,40.6
SHP-004223,Kewdale WH,CUST-00076,2023-02-27,2023-02-27 03:00,FALSE,0.0
SHP-002804,WH02,CUST-00054,2024-10-20,2024-10-20 13:00,N,0.0
SHP-002278,WH01,CUST-00144,2023-11-29,2023-11-29 08:00,0,0.0
SHP-PEAK-00731,WH03,CUST-00022,2024-12-14,2024-12-14 19:00,1,19.3
SHP-002618,Perth WH,CUST-00080,2024-12-04,2024-12-04 07:00,N,0.0
SHP-003942,fremantle wh,CUST-00173,2024-11-11,2024-11-11 03:00,false,0.0
SHP-001182,perth wh,CUST-00051,2024-01-13,2024-01-13 14:00,No,0.0
SHP-PEAK-00443,Perth WH,CUST-00111,2023-11-12,2023-11-12 16:00,false,0.0
SHP-001394,kewdale wh,CUST-00172,2023-10-31,2023-10-31 18:00,No,0.0
SHP-001449,WH03,CUST-00166,2024-07-22,2024-07-22 08:00,1,8.9
SHP-003884,WH03,CUST-00183,2023-11-12,2023-11-12 17:00,FALSE,0.0
SHP-003913,kewdale wh,CUST-00108,2023-11-04,2023-11-04 11:00,N,0.0
SHP-002679,perth wh,CUST-00087,2023-05-26,2023-05-26 17:00,No,0.0
SHP-PEAK-00021,Kewdale WH,CUST-00147,2023-12-19,2023-12-19 01:00,0,0.0
SHP-004302,,CUST-00175,2023-12-27,2023-12-27 16:00,0,0.0
SHP-001296,Kewdale WH,CUST-00134,2024-10-09,2024-10-09 21:00,Yes,21.1
SHP-000890,WH03,CUST-00042,2024-12-11,2024-12-11 09:00,false,0.0
SHP-003873,Kewdale WH,CUST-00160,2024-05-12,2024-05-12 17:00,N,0.0
SHP-003382,kewdale wh,CUST-00188,2024-10-18,2024-10-18 08:00,FALSE,0.0
SHP-002096,WH01,CUST-00123,2024-02-08,2024-02-08 16:00,N,0.0
SHP-PEAK-00455,kewdale wh,CUST-00027,2024-12-12,2024-12-12 19:00,FALSE,0.0
SHP-002272,perth wh,CUST-00190,2024-07-18,2024-07-18 19:00,No,0.0
SHP-000612,WH02,CUST-00185,2023-01-22,2023-01-22 05:00,FALSE,0.0
SHP-004937,WH02,CUST-00178,2023-09-27,2023-09-27 16:00,0,0.0
SHP-001536,Kewdale WH,CUST-00057,2023-05-30,2023-05-30 16:00,N,0.0
SHP-004271,kewdale wh,CUST-00058,2024-08-07,2024-08-07 05:00,No,0.0
SHP-003442,WH02,CUST-00183,2024-11-24,2024-11-24 02:00,No,0.0
SHP-004391,WH03,CUST-00005,2023-03-14,2023-03-14 14:00,N,0.0
SHP-PEAK-00430,,CUST-00033,2023-11-02,2023-11-02 06:00,false,0.0
SHP-004619,fremantle wh,CUST-00138,2024-06-13,2024-06-14 23:00,1,47.7
SHP-PEAK-00666,kewdale wh,CUST-00037,2024-12-23,2024-12-23 04:00,0,0.0
SHP-PEAK-00332,WH03,CUST-00181,2024-11-26,2024-11-26 14:00,N,0.0
SHP-000102,WH03,CUST-00075,2024-03-17,2024-03-17 01:00,No,0.0
SHP-004828,WH02,CUST-00180,2023-12-24,2023-12-24 06:00,N,0.0
SHP-000320,WH01,CUST-00167,2024-07-13,2024-07-13 03:00,No,0.0
SHP-PEAK-00459,fremantle wh,CUST-00174,2024-11-12,2024-11-12 03:00,true,3.3
SHP-000158,,CUST-00092,2023-12-25,2023-12-25 08:00,false,0.0
SHP-004384,fremantle wh,CUST-00070,2024-09-01,2024-09-02 06:00,Yes,30.8
SHP-001979,perth wh,CUST-00152,2024-06-30,2024-06-30 13:00,N,0.0
SHP-004540,WH03,CUST-00012,2024-11-07,2024-11-07 09:00,false,0.0
SHP-000784,WH01,CUST-00138,2024-05-31,2024-05-31 06:00,No,0.0
SHP-000600,,CUST-00022,2024-05-20,2024-05-21 15:00,Y,39.2
SHP-001398,kewdale wh,CUST-00114,2024-04-18,2024-04-18 00:00,N,0.0
SHP-004522,Fremantle WH,CUST-00111,2024-07-20,2024-07-20 08:00,No,0.0
SHP-002785,fremantle wh,CUST-00182,2024-06-16,2024-06-16 03:00,N,0.0
SHP-002132,WH02,CUST-00071,2024-01-01,2024-01-01 07:00,FALSE,0.0
SHP-001336,Perth WH,CUST-00123,2023-02-09,2023-02-09 02:00,0,0.0
SHP-003699,Perth WH,CUST-00011,2024-06-17,2024-06-17 13:00,FALSE,0.0
SHP-002408,Kewdale WH,CUST-00058,2024-10-24,2024-10-25 18:00,Yes,42.5
SHP-000240,,CUST-00149,2023-06-21,2023-06-21 13:00,0,0.0
SHP-000507,Kewdale WH,CUST-00145,2023-08-17,2023-08-17 15:00,FALSE,0.0
SHP-003787,fremantle wh,CUST-00001,2023-06-02,2023-06-03 05:00,Y,29.6
SHP-001514,Fremantle WH,CUST-00031,2024-09-01,2024-09-01 13:00,No,0.0
SHP-PEAK-00060,kewdale wh,CUST-00129,2023-12-26,2023-12-26 15:00,0,0.0
SHP-004175,,CUST-00199,2024-06-23,2024-06-23 01:00,N,0.0
SHP-000157,WH03,CUST-00195,2023-05-23,2023-05-23 05:00,1,5.9
SHP-001880,Kewdale WH,CUST-00027,2024-11-26,2024-11-26 05:00,FALSE,0.0
SHP-000200,,CUST-00153,2024-10-11,2024-10-11 12:00,No,0.0
SHP-PEAK-00118,,CUST-00053,2024-12-18,2024-12-18 10:00,No,0.0
SHP-000234,kewdale wh,CUST-00186,2024-03-11,2024-03-11 06:00,FALSE,0.0
SHP-004329,fremantle wh,CUST-00017,2024-02-11,2024-02-11 08:00,N,0.0
SHP-002847,Perth WH,CUST-00060,2023-07-23,2023-07-23 01:00,No,0.0
SHP-004953,fremantle wh,CUST-00109,2024-03-18,2024-03-18 09:00,N,0.0
SHP-001254,Kewdale WH,CUST-00111,2023-03-30,2023-03-30 06:00,No,0.0
SHP-001489,kewdale wh,CUST-00047,2023-12-30,2023-12-30 06:00,false,0.0
SHP-001952,kewdale wh,CUST-00058,2024-12-05,2024-12-05 07:00,N,0.0
SHP-003090,WH02,CUST-00063,2024-11-17,2024-11-17 17:00,false,0.0
SHP-001484,Perth WH,CUST-00176,2023-11-04,2023-11-04 14:00,false,0.0
SHP-002198,Fremantle WH,CUST-00176,2023-03-01,2023-03-01 10:00,Y,10.6
SHP-004355,WH01,CUST-00125,2023-09-26,2023-09-26 00:00,false,0.0
SHP-000133,fremantle wh,CUST-00056,2024-08-15,2024-08-15 18:00,No,0.0
SHP-PEAK-00737,fremantle wh,CUST-00100,2024-11-12,2024-11-12 04:00,false,0.0
SHP-004041,,CUST-00015,2024-11-16,2024-11-16 15:00,N,0.0
SHP-000168,fremantle wh,CUST-00084,2024-07-06,2024-07-06 14:00,No,0.0
SHP-001989,,CUST-00089,2024-02-07,2024-02-07 12:00,false,0.0
SHP-000347,Fremantle WH,CUST-00013,2024-01-15,2024-01-15 01:00,false,0.0
SHP-004129,kewdale wh,CUST-00176,2023-06-03,2023-06-04 16:00,true,40.0
SHP-002183,fremantle wh,CUST-00193,2024-06-16,2024-06-16 04:00,0,0.0
SHP-000427,,CUST-00046,2023-01-07,2023-01-07 00:00,No,0.0
SHP-003321,WH02,CUST-00017,2024-11-21,2024-11-21 08:00,N,0.0
SHP-003510,WH02,CUST-00129,2023-03-21,2023-03-21 07:00,0,0.0
SHP-003371,WH03,CUST-00050,2024-05-31,2024-05-31 17:00,FALSE,0.0
SHP-002663,,CUST-00029,2023-12-15,2023-12-15 01:00,0,0.0
SHP-000440,Kewdale WH,CUST-00023,2024-08-17,2024-08-17 14:00,Y,14.6
SHP-PEAK-00469,WH03,CUST-00016,2024-12-24,2024-12-24 18:00,0,0.0
SHP-003259,Fremantle WH,CUST-00144,2023-07-24,2023-07-24 16:00,N,0.0
SHP-003998,WH01,CUST-00068,2024-12-30,2024-12-30 11:00,FALSE,0.0
SHP-001938,WH03,CUST-00113,2024-10-04,2024-10-04 16:00,false,0.0
SHP-000394,,CUST-00132,2024-11-30,2024-11-30 07:00,No,0.0
SHP-004589,kewdale wh,CUST-00119,2023-11-24,2023-11-25 20:00,Y,44.0
SHP-PEAK-00050,Perth WH,CUST-00169,2023-11-27,2023-11-27 12:00,FALSE,0.0
SHP-003077,fremantle wh,CUST-00054,2023-03-06,2023-03-06 07:00,N,0.0
SHP-004741,WH02,CUST-00069,2023-12-27,2023-12-27 16:00,false,0.0
SHP-001871,perth wh,CUST-00095,2024-11-16,2024-11-16 03:00,N,0.0
SHP-000169,,CUST-00193,2023-01-28,2023-01-28 04:00,false,0.0
SHP-002347,Kewdale WH,CUST-00188,2024-10-06,2024-10-06 17:00,N,0.0
SHP-003750,Kewdale WH,CUST-00066,2023-02-15,2023-02-15 08:00,FALSE,0.0
SHP-004865,perth wh,CUST-00198,2023-09-17,2023-09-17 15:00,FALSE,0.0
SHP-003483,WH02,CUST-00104,2024-05-21,2024-05-21 20:00,Y,20.6
SHP-002583,Fremantle WH,CUST-00060,2023-12-07,2023-12-07 13:00,0,0.0
SHP-002307,WH01,CUST-00196,2024-12-15,2024-12-15 05:00,N,0.0
SHP-003892,perth wh,CUST-00133,2023-03-24,2023-03-24 08:00,Y,8.1
SHP-001903,Fremantle WH,CUST-00119,2024-09-07,2024-09-07 19:00,0,0.0
SHP-002882,Kewdale WH,CUST-00165,2023-08-08,2023-08-08 00:00,false,0.0
SHP-000081,WH01,CUST-00111,2023-08-06,2023-08-06 17:00,false,0.0
SHP-000222,WH03,CUST-00052,2024-09-06,2024-09-06 04:00,false,0.0
SHP-002246,WH02,CUST-00044,2023-01-31,2023-01-31 09:00,N,0.0
SHP-PEAK-00656,kewdale wh,CUST-00078,2023-12-09,2023-12-09 23:00,1,23.3
SHP-001877,Kewdale WH,CUST-00124,2024-06-12,2024-06-13 23:00,Yes,47.2
SHP-001534,Fremantle WH,CUST-00013,2024-11-13,2024-11-13 07:00,No,0.0
SHP-002211,kewdale wh,CUST-00097,2023-03-13,2023-03-13 00:00,N,0.0
SHP-000706,,CUST-00156,2024-08-12,2024-08-12 01:00,false,0.0
SHP-004995,fremantle wh,CUST-00030,2023-08-10,2023-08-10 07:00,0,0.0
SHP-000554,WH01,CUST-00175,2023-07-06,2023-07-06 05:00,No,0.0
SHP-000535,Perth WH,CUST-00058,2024-02-19,2024-02-19 05:00,N,0.0
SHP-003133,Kewdale WH,CUST-00031,2024-03-12,2024-03-12 06:00,N,0.0
SHP-001540,Kewdale WH,CUST-00012,2023-07-22,2023-07-22 02:00,0,0.0
SHP-002043,fremantle wh,CUST-00188,2024-09-12,2024-09-12 10:00,0,0.0
SHP-002446,,CUST-00088,2024-01-30,2024-01-30 22:00,1,22.2
SHP-002827,kewdale wh,CUST-00124,2023-05-21,2023-05-21 11:00,false,0.0
SHP-PEAK-00270,WH01,CUST-00051,2023-11-05,2023-11-05 12:00,0,0.0
SHP-003627,WH01,CUST-00009,2024-11-12,2024-11-12 18:00,N,0.0
SHP-004890,kewdale wh,CUST-00153,2024-03-31,2024-03-31 14:00,0,0.0
SHP-002978,kewdale wh,CUST-00004,2024-06-09,2024-06-09 09:00,false,0.0
SHP-002146,,CUST-00109,2024-03-18,2024-03-18 02:00,N,0.0
SHP-PEAK-00399,kewdale wh,CUST-00047,2023-12-30,2023-12-30 06:00,false,0.0
SHP-001351,fremantle wh,CUST-00015,2023-03-31,2023-04-01 13:00,1,37.4
SHP-004774,WH01,CUST-00035,2024-05-29,2024-05-30 02:00,1,26.5
SHP-001437,,CUST-00130,2024-06-13,2024-06-13 15:00,false,0.0
SHP-001884,kewdale wh,CUST-00018,2024-09-12,2024-09-12 11:00,0,0.0
SHP-PEAK-00370,Perth WH,CUST-00064,2023-12-12,2023-12-12 14:00,N,0.0
SHP-002345,,CUST-00014,2024-12-21,2024-12-21 00:00,N,0.0
SHP-000080,,CUST-00047,2024-10-21,2024-10-21 05:00,No,0.0
SHP-004036,WH02,CUST-00065,2024-03-26,2024-03-26 13:00,N,0.0
SHP-001742,,CUST-00161,2024-11-14,2024-11-14 13:00,N,0.0
SHP-003718,WH03,CUST-00075,2024-06-14,2024-06-14 13:00,FALSE,0.0
SHP-PEAK-00759,Perth WH,CUST-00070,2024-12-15,2024-12-15 00:00,0,0.0
SHP-003054,WH01,CUST-00137,2023-01-04,2023-01-04 16:00,No,0.0
SHP-001047,WH01,CUST-00009,2024-11-06,2024-11-06 15:00,0,0.0
SHP-002821,Kewdale WH,CUST-00071,2024-07-17,2024-07-17 16:00,0,0.0
SHP-003162,WH02,CUST-00164,2023-12-31,2023-12-31 06:00,Y,6.9
SHP-000908,WH01,CUST-00057,2023-07-16,2023-07-16 12:00,No,0.0
SHP-PEAK-00304,Perth WH,CUST-00070,2024-12-15,2024-12-15 00:00,0,0.0
SHP-002003,fremantle wh,CUST-00177,2023-07-31,2023-07-31 19:00,0,0.0
SHP-001731,WH01,CUST-00166,2023-12-16,2023-12-16 13:00,FALSE,0.0
SHP-002670,Fremantle WH,CUST-00104,2023-03-17,2023-03-17 04:00,0,0.0
SHP-004397,Perth WH,CUST-00113,2024-12-03,2024-12-03 02:00,N,0.0
SHP-004412,Perth WH,CUST-00112,2023-05-19,2023-05-19 09:00,true,9.2
SHP-000309,WH01,CUST-00108,2023-11-29,2023-11-29 12:00,0,0.0
SHP-000264,WH01,CUST-00070,2024-02-04,2024-02-04 09:00,false,0.0
SHP-001056,WH01,CUST-00118,2023-05-19,2023-05-19 05:00,No,0.0
SHP-PEAK-00367,Kewdale WH,CUST-00120,2024-11-13,2024-11-13 03:00,FALSE,0.0
SHP-PEAK-00032,perth wh,CUST-00035,2024-12-10,2024-12-10 17:00,No,0.0
SHP-004369,kewdale wh,CUST-00003,2024-01-04,2024-01-04 07:00,FALSE,0.0
SHP-000352,Fremantle WH,CUST-00098,2024-04-10,2024-04-10 13:00,0,0.0
SHP-000015,perth wh,CUST-00171,2024-11-05,2024-11-05 00:00,FALSE,0.0
SHP-001865,,CUST-00159,2024-07-29,2024-07-29 08:00,TRUE,8.9
SHP-PEAK-00106,WH03,CUST-00167,2023-11-15,2023-11-15 02:00,false,0.0
SHP-002648,Kewdale WH,CUST-00051,2024-05-25,2024-05-25 19:00,false,0.0
SHP-002440,kewdale wh,CUST-00182,2023-09-07,2023-09-07 16:00,true,16.1
SHP-PEAK-00337,WH03,CUST-00162,2024-12-01,2024-12-01 23:00,Y,23.7
SHP-001145,,CUST-00102,2023-06-12,2023-06-12 02:00,N,0.0
SHP-000066,,CUST-00139,2023-05-20,2023-05-20 05:00,false,0.0
SHP-PEAK-00283,WH02,CUST-00006,2024-12-03,2024-12-03 05:00,N,0.0
SHP-001050,,CUST-00038,2023-03-01,2023-03-01 00:00,N,0.0
SHP-003095,kewdale wh,CUST-00037,2023-11-02,2023-11-02 01:00,No,0.0
SHP-002844,fremantle wh,CUST-00028,2024-02-20,2024-02-20 05:00,FALSE,0.0
SHP-PEAK-00348,WH03,CUST-00077,2024-12-27,2024-12-27 15:00,0,0.0
SHP-003228,WH02,CUST-00115,2024-10-04,2024-10-04 08:00,FALSE,0.0
SHP-PEAK-00674,WH02,CUST-00054,2024-12-01,2024-12-01 00:00,No,0.0
SHP-PEAK-00376,Kewdale WH,CUST-00025,2023-11-22,2023-11-22 01:00,No,0.0
SHP-001559,kewdale wh,CUST-00074,2024-11-20,2024-11-20 01:00,N,0.0
SHP-000089,,CUST-00001,2023-05-28,2023-05-28 07:00,FALSE,0.0
SHP-002315,kewdale wh,CUST-00159,2023-06-02,2023-06-02 15:00,0,0.0
SHP-000880,Fremantle WH,CUST-00023,2023-12-30,2023-12-30 20:00,1,20.3
SHP-002755,Perth WH,CUST-00029,2023-03-16,2023-03-16 14:00,FALSE,0.0
SHP-004554,kewdale wh,CUST-00123,2023-07-29,2023-07-29 00:00,No,0.0
SHP-003210,fremantle wh,CUST-00029,2023-02-04,2023-02-05 06:00,TRUE,30.5
SHP-001500,Fremantle WH,CUST-00081,2024-06-04,2024-06-05 04:00,true,28.6
SHP-000502,,CUST-00138,2023-03-13,2023-03-13 05:00,0,0.0
SHP-004440,perth wh,CUST-00092,2024-06-01,2024-06-01 03:00,0,0.0
SHP-PEAK-00635,kewdale wh,CUST-00065,2023-12-12,2023-12-12 15:00,FALSE,0.0
SHP-002953,Kewdale WH,CUST-00093,2024-12-08,2024-12-08 10:00,false,0.0
SHP-001722,WH01,CUST-00081,2024-12-23,2024-12-23 19:00,FALSE,0.0
SHP-004542,Kewdale WH,CUST-00052,2023-10-12,2023-10-12 09:00,false,0.0
SHP-PEAK-00529,WH01,CUST-00123,2023-11-30,2023-11-30 02:00,0,0.0
SHP-004773,kewdale wh,CUST-00060,2024-01-07,2024-01-07 08:00,0,0.0
SHP-002304,perth wh,CUST-00057,2024-08-29,2024-08-29 06:00,No,0.0
SHP-PEAK-00612,Kewdale WH,CUST-00055,2023-12-06,2023-12-06 10:00,N,0.0
SHP-002532,WH01,CUST-00024,2023-11-08,2023-11-08 19:00,No,0.0
SHP-004457,Perth WH,CUST-00165,2024-12-12,2024-12-12 09:00,N,0.0
SHP-003097,kewdale wh,CUST-00046,2023-04-06,2023-04-06 08:00,false,0.0
SHP-002880,WH02,CUST-00119,2023-07-18,2023-07-18 04:00,false,0.0
SHP-000182,WH03,CUST-00068,2024-11-18,2024-11-18 12:00,No,0.0
SHP-002989,Fremantle WH,CUST-00063,2023-08-07,2023-08-07 09:00,0,0.0
SHP-001091,Perth WH,CUST-00196,2024-05-04,2024-05-04 16:00,false,0.0
SHP-004432,WH01,CUST-00139,2024-13-45,2024-05-06 08:00,0,0.0
SHP-000402,fremantle wh,CUST-00016,2023-07-25,2023-07-25 14:00,FALSE,0.0
SHP-PEAK-00653,Kewdale WH,CUST-00111,2023-12-23,2023-12-23 07:00,false,0.0
SHP-003484,WH02,CUST-00137,2023-02-25,2023-02-25 08:00,N,0.0
SHP-004402,perth wh,CUST-00018,2024-11-17,2024-11-17 05:00,N,0.0
SHP-PEAK-00624,Fremantle WH,CUST-00078,2023-12-29,2023-12-29 12:00,TRUE,12.9
SHP-000260,WH01,CUST-00074,2024-08-03,2024-08-03 04:00,FALSE,0.0
SHP-000280,,CUST-00019,2024-11-18,2024-11-18 05:00,N,0.0
SHP-000562,,CUST-00116,2024-01-02,2024-01-02 18:00,N,0.0
SHP-002023,WH01,CUST-00028,2023-09-20,2023-09-20 19:00,0,0.0
